time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/critic_loss,train/RL_loss,train/Beta,train/critic_los,train/loss,train/n_updates,train/MSE_losses,train/learning_rate,train/Main_losses,train/MSE_loss
480,128.09,96,128.09,164,15856,-24.092753423403387,0.9473572304497843,-22.948392868041992,0.0,1.379112958908081,-22.948392868041992,15632,0.2929312880725077,0.001,-24.092753423403387,0.33628329634666443
484,126.74,99,126.74,164,16426,-24.98822832107544,0.7525615548646009,-24.76704978942871,0.0,0.8354082107543945,-24.76704978942871,16190,0.2531382537939969,0.001,-24.98822832107544,0.22288505733013153
488,126.88,103,126.88,164,16982,-25.436472536912603,0.7478270163138707,-24.683837890625,0.0,0.2023473083972931,-24.683837890625,16745,0.28458951080023354,0.001,-25.436472536912603,0.38999465107917786
492,128.01,106,128.01,164,17575,-25.76346863927068,0.7416674946846605,-24.654422760009766,0.0,0.4048030972480774,-24.654422760009766,17340,0.27496502850506754,0.001,-25.76346863927068,0.3016470968723297
496,129.53,110,129.53,164,18166,-26.559347848634463,0.6939688571947533,-27.272361755371094,0.0,0.3374760150909424,-27.272361755371094,17917,0.2596121903609585,0.001,-26.559347848634463,0.24101395905017853
500,131.62,113,131.62,164,18753,-26.59829813639323,0.44624085346857706,-25.406869888305664,0.0,0.2423103153705597,-25.406869888305664,18506,0.25920746982097626,0.001,-26.59829813639323,0.3399655222892761
504,133.75,117,133.75,164,19379,-27.39580024043216,0.7901869614290286,-26.14712142944336,0.0,0.5622388124465942,-26.14712142944336,19121,0.2443774500979653,0.001,-27.39580024043216,0.3047560453414917
508,136.61,121,136.61,164,20032,-27.783341431617735,0.7911119513541648,-26.193666458129883,0.0,1.2681794166564941,-26.193666458129883,19772,0.22087174598127604,0.001,-27.783341431617735,0.22681468725204468
512,138.86,125,138.86,165,20742,-28.60536721547445,0.7092171318829059,-27.873153686523438,0.0,1.2432599067687988,-27.873153686523438,20456,0.20620232017503845,0.001,-28.60536721547445,0.20026537775993347
516,141.5,130,141.5,164,21452,-29.029244271191683,0.7770000588468143,-30.239791870117188,0.0,0.3141900300979614,-30.239791870117188,21186,0.2296099573035132,0.001,-29.029244271191683,0.21715445816516876
520,143.24,134,143.24,164,22149,-29.900725118229897,0.9532211867443631,-30.87664794921875,0.0,0.9548025131225586,-30.87664794921875,21883,0.2490309656001209,0.001,-29.900725118229897,0.20700794458389282
524,144.72,138,144.72,164,22792,-30.167613007805564,0.8408987068317153,-30.373708724975586,0.0,0.33967325091362,-30.373708724975586,22544,0.26423412798480556,0.001,-30.167613007805564,0.2931758165359497
528,146.2,142,146.2,164,23438,-30.748053906911828,0.8228964107389936,-30.844003677368164,0.0,1.1902127265930176,-30.844003677368164,23185,0.24692934428352908,0.001,-30.748053906911828,0.2658887207508087
