time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/MSE_losses,train/MSE_loss,train/RL_loss,train/critic_loss,train/Beta,train/loss,train/actor_loss,train/Main_losses,train/critic_los,train/n_updates,train/learning_rate
348,1035,498.21,498.21,163008,157,0.2625916259288788,0.33047571778297424,-91.30396270751953,0.3295847919806838,0.308,-90.28609466552734,-91.74955813598633,-90.94077590942383,0.13104525208473206,162416,0.001
352,1047,498.21,498.21,165008,157,0.27613919454813,0.2863582968711853,-90.78636169433594,0.5701968588531018,0.3,-89.92728424072266,-92.21361987304688,-91.38520230102539,0.1499740183353424,164416,0.001
356,1057,494.01,494.01,166588,157,0.264541672706604,0.31797653436660767,-91.42203521728516,0.3204179729670286,0.292,-90.49354553222656,-92.02573806762695,-91.25327642822266,0.13214686512947083,165996,0.001
360,1070,494.01,494.01,168588,157,0.2721200492978096,0.2116852104663849,-93.42878723144531,0.48279094058275224,0.284,-92.82759857177734,-92.1885517578125,-91.41573071289062,0.0504504069685936,167996,0.001
364,1083,494.01,494.01,170588,157,0.28454995608329775,0.33019956946372986,-92.6903305053711,0.6106072280928493,0.276,-91.77897644042969,-92.39379547119141,-91.60843756103516,0.11126286536455154,169996,0.001
368,1095,494.01,494.01,172588,157,0.289223911345005,0.29087191820144653,-92.20555114746094,0.3712217373475432,0.268,-91.42601776123047,-92.91125387573243,-92.1361337890625,0.3087232708930969,171996,0.001
372,1108,494.01,494.01,174588,157,0.2796767019033432,0.2474152147769928,-94.02351379394531,0.5584137509763241,0.26,-93.38023376464844,-93.13293002319335,-92.40577059936524,0.08321323245763779,173996,0.001
376,1121,494.01,494.01,176588,157,0.2674243768453598,0.2973470687866211,-94.15188598632812,0.4253687530010939,0.252,-93.40257263183594,-93.3951279296875,-92.7212184753418,0.17606663703918457,175996,0.001
380,1134,494.01,494.01,178588,157,0.32911821115016937,0.2862203121185303,-92.33667755126953,0.42441038611531257,0.244,-91.63829803466797,-94.04399090576172,-93.24094241333007,0.15959542989730835,177996,0.001
384,1147,494.01,494.01,180588,157,0.2800964883565903,0.29566773772239685,-93.02438354492188,0.46350043030083177,0.236,-92.32660675048828,-94.48666418457032,-93.82563659667969,0.08418961614370346,179996,0.001
388,1159,494.01,494.01,182588,157,0.275203062236309,0.3063738942146301,-94.20732879638672,0.3612698285281658,0.228,-93.50879669189453,-94.88934741210937,-94.2618846435547,0.17441339790821075,181996,0.001
