rollout/ep_rew_mean,time/time_elapsed,time/fps,train/std,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/MSE_loss,train/loss,train/Beta,train/actor_loss,train/RL_loss,train/ent_coef,train/MSE_losses,train/critic_loss,train/learning_rate,train/critic_los,train/n_updates,train/Main_losses
257.71999710999995,1658,92,0.04765716567635536,240,715.42,153541,1.057976940763183,1.8859219551086426,-13.97616958618164,0,-13.780199736356735,-13.97616958618164,0.007187917690316681,2.3147222101688385,0.43849321943707764,0.00073,0.10212188959121704,143552,-13.780199736356735
254.20054125000001,1681,92,0.04756050184369087,244,703.61,155531,0.08984566165599972,1.702567458152771,-14.100526809692383,0,-13.641431510448456,-14.100526809692383,0.0075118207387276925,2.280653692781925,0.411030838615261,0.00073,0.2163219153881073,145536,-13.641431510448456
249.20271937,1700,92,0.047582365572452545,248,694.8,157264,0.2817234047688544,1.5316284894943237,-14.560419082641602,0,-13.431345701217651,-14.560419082641602,0.0076127982174512,2.3010406401008368,0.5860730372369289,0.00073,0.17965167760849,147264,-13.431345701217651
257.93231932000003,1734,92,0.04747143015265465,252,703.73,160168,0.22579266456887126,1.651726245880127,-13.871294021606445,0,-13.49029466509819,-13.871294021606445,0.0075590245687635615,2.4136482272297144,0.4769680048339069,0.00073,0.3204059600830078,150144,-13.49029466509819
261.95294873,1768,92,0.04729381203651428,256,704.61,163139,0.8798902740236372,1.2582076787948608,-13.989174842834473,0,-13.878804504871368,-13.989174842834473,0.007802689986419864,2.227820463478565,0.40524243586696684,0.00073,0.2426861673593521,153152,-13.878804504871368
262.2177029,1802,92,0.047160156071186066,260,701.2,166133,-0.14156271470710635,2.5735368728637695,-13.59559440612793,0,-13.773328647017479,-13.59559440612793,0.007837724377168342,2.286585573107004,0.32420037797419354,0.00073,0.836342453956604,156096,-13.773328647017479
264.1201214,1834,92,0.047075461596250534,264,700.56,168917,-0.4062665933743119,1.9141595363616943,-13.199578285217285,0,-13.864313900470734,-13.199578285217285,0.00787139032036066,2.5294094122946262,0.36620056914398447,0.00073,0.198787659406662,158912,-13.864313900470734
268.20293972,1869,91,0.04705359414219856,268,703.43,171918,-0.029578963993117213,2.570301055908203,-13.944528579711914,0,-13.966113656759262,-13.944528579711914,0.007206600472272839,2.3903637789189816,0.5955183433834463,0.00073,0.35665687918663025,161920,-13.966113656759262
261.67753372,1892,91,0.04682958498597145,272,692.47,174011,-0.15242956508882344,1.6092884540557861,-12.773929595947266,0,-14.022508174180984,-12.773929595947266,0.007508418071665801,2.432881213724613,0.7379872754681855,0.00073,1.6369850635528564,163968,-14.022508174180984
258.3656891,1919,91,0.04682518169283867,276,686.28,176371,0.629848524928093,2.0833306312561035,-14.201824188232422,0,-14.19060006737709,-14.201824188232422,0.007593908710987307,2.4268011413514614,0.5523185473866761,0.00073,0.12811890244483948,166336,-14.19060006737709
263.50915746,1954,91,0.04675387218594551,280,690.35,179338,0.8381603504531085,1.9353177547454834,-14.773235321044922,0,-14.334134101867676,-14.773235321044922,0.007450903991411906,2.517527189105749,0.5963136578211561,0.00073,0.5407888889312744,169344,-14.334134101867676
263.67133621,1988,91,0.04671815037727356,284,687.96,182309,0.45239216403570026,1.9748308658599854,-15.516702651977539,0,-14.285952940583229,-15.516702651977539,0.007026894323644228,2.515105376020074,0.7215928640216589,0.00073,0.2055700421333313,172288,-14.285952940583229
264.05741849000003,2017,91,0.04659253731369972,288,683.76,184907,-0.26756434398703277,1.8781843185424805,-13.959066390991211,0,-14.694260090589523,-13.959066390991211,0.007073740009218454,2.4192864522337914,0.4838115199236199,0.00073,0.25215861201286316,174912,-14.694260090589523
267.29904371,2051,91,0.046421635895967484,292,686.12,187873,0.47056303336285055,2.931110382080078,-14.691996574401855,0,-14.752342134714127,-14.691996574401855,0.006901079999806825,2.365608951076865,0.42684766312595457,0.00073,0.1437336504459381,177856,-14.752342134714127
267.59253799,2082,91,0.04638366773724556,296,684.36,190563,-0.6375976116396487,1.1927969455718994,-14.56422233581543,0,-14.740136817097664,-14.56422233581543,0.0070326553177437745,2.242960922420025,0.5546118484344333,0.00073,0.15055185556411743,180544,-14.740136817097664
264.98183884,2112,91,0.0461212620139122,300,678.46,193137,1.0688171880319715,2.5336337089538574,-13.932677268981934,0,-14.835878252983093,-13.932677268981934,0.0074390032241353765,2.2230247873812914,0.5011564353480935,0.00073,0.1917298287153244,183104,-14.835878252983093
269.30916648000004,2146,91,0.04603719338774681,304,681.08,196038,0.5962361965794116,4.207766532897949,-13.896248817443848,0,-14.619689002633095,-13.896248817443848,0.007362084688793402,2.4603961016982794,0.3249613529769704,0.00073,0.33443135023117065,186048,-14.619689002633095
268.58229432999997,2173,91,0.046058353036642075,308,677.61,198451,-0.6685085468925536,1.4893403053283691,-14.962199211120605,0,-14.740043476223946,-14.962199211120605,0.007619992633408401,2.3136414419859648,0.4933828944340348,0.00073,0.2029999941587448,188416,-14.740043476223946
265.28051978,2201,91,0.045885972678661346,312,671.75,200920,-0.12026818376034498,2.0945611000061035,-13.120399475097656,0,-14.859954223036766,-13.120399475097656,0.007587546970171388,2.3195747192949057,0.519545607152395,0.00073,2.12068247795105,190912,-14.859954223036766
264.81448717999996,2234,91,0.04593098536133766,316,670.12,203723,-0.43055680859833956,3.5424246788024902,-14.48782730102539,0,-14.778540715575218,-14.48782730102539,0.007919464274891652,2.3844616040587425,0.9566656795796007,0.00073,0.1576855629682541,193728,-14.778540715575218
264.82769988,2268,91,0.0458250567317009,320,669.5,206715,0.07781410776078701,2.001591920852661,-16.10976791381836,0,-14.86927816271782,-16.10976791381836,0.007302534861082677,2.21838656347245,0.5061971518443897,0.00073,1.745128870010376,196672,-14.86927816271782
261.95551378000005,2297,91,0.04563983529806137,324,665.32,209267,0.22831992665305734,1.5610716342926025,-14.51632308959961,0,-15.007699117064476,-14.51632308959961,0.00716401293175295,2.3614667169749737,0.7133690355112776,0.00073,0.1987418532371521,199232,-15.007699117064476
261.97673149999997,2331,91,0.045576728880405426,328,664.94,212171,0.16977676702663302,2.103610038757324,-14.22823715209961,0,-15.04839913547039,-14.22823715209961,0.007459261949406937,2.3612580448389053,0.6589690976543352,0.00073,0.4192841649055481,202176,-15.04839913547039
264.68681946,2364,90,0.04547840356826782,332,667.85,215078,-0.9920416446402669,2.0381736755371094,-14.406103134155273,0,-15.118780300021172,-14.406103134155273,0.007170990844315384,2.3579692225903273,0.44017710315529257,0.00073,0.16310489177703857,205056,-15.118780300021172
264.33622077,2393,90,0.045276276767253876,336,667.06,217656,-0.20084697799757123,1.5065324306488037,-15.381328582763672,0,-15.351235896348953,-15.381328582763672,0.007093082822393626,2.440645718947053,0.5466666589491069,0.00073,0.16982688009738922,207616,-15.351235896348953
267.38849603,2427,90,0.044906023889780045,340,670.37,220578,1.033855372807011,2.3486812114715576,-15.890264511108398,0,-15.478754997253418,-15.890264511108398,0.007153928170737345,2.5209057312458754,0.552428177848924,0.00073,1.3733885288238525,210560,-15.478754997253418
275.46291829,2460,90,0.04494019225239754,344,679.23,223454,-0.20951980957761407,2.397024154663086,-14.3250732421875,0,-15.489449635148048,-14.3250732421875,0.007198626939498354,2.3314972519874573,0.4104267645161599,0.00073,0.17913125455379486,213440,-15.489449635148048
284.88571035,2493,90,0.044840846210718155,348,690.63,226327,1.2562666642479599,1.8088592290878296,-16.211347579956055,0,-15.519290328025818,-16.211347579956055,0.006882231595227495,2.257760312408209,0.5338682542205788,0.00073,0.09942708909511566,216320,-15.519290328025818
286.35804149,2527,90,0.04478859528899193,352,690.73,229241,0.5774973586667329,2.252573013305664,-16.030109405517578,0,-15.607313692569733,-16.030109405517578,0.006583974762179423,2.332266865298152,0.36584421689622104,0.00073,0.162663996219635,219200,-15.607313692569733
284.7340192500001,2561,90,0.04468447342514992,356,688.67,232006,-0.15118689904920757,1.4015989303588867,-15.997472763061523,0,-15.99995432794094,-15.997472763061523,0.006536971566674765,2.348420212045312,0.4460301829967648,0.00073,0.10063114017248154,222016,-15.99995432794094
284.77470793,2594,90,0.044670939445495605,360,687.37,234870,-0.4228260648669675,2.2189066410064697,-16.55466651916504,0,-15.97891415655613,-16.55466651916504,0.006643658809480257,2.337832363322377,0.5548390275798738,0.00073,0.1104140505194664,224832,-15.97891415655613
285.51782268000005,2628,90,0.04440407082438469,364,687.77,237694,0.7353904698975384,1.8297677040100098,-16.94277572631836,0,-15.876942753791809,-16.94277572631836,0.006669591028185096,2.360085468739271,0.5751908937236294,0.00073,1.5815284252166748,227648,-15.876942753791809
283.30398935,2659,90,0.04443017393350601,368,684.16,240334,-0.8304749093949795,2.1291213035583496,-16.297882080078125,0,-16.04081901907921,-16.297882080078125,0.006874794140458107,2.412908986210823,0.5414747414179146,0.00073,0.12396793067455292,230336,-16.04081901907921
289.98970314999997,2692,90,0.044273197650909424,372,692.09,243220,-0.5542052581440657,1.6347899436950684,-16.145273208618164,0,-15.94717238843441,-16.145273208618164,0.006871341334772296,2.471883976832032,0.6544767535524443,0.00073,3.429720163345337,233216,-15.94717238843441
293.16132259,2722,90,0.04404650628566742,376,694.6,245831,-0.41428703686688095,2.0544042587280273,-15.865030288696289,0,-16.11309413611889,-15.865030288696289,0.006240353366592899,2.4244259633123875,0.6254363387124613,0.00073,0.7552821636199951,235840,-16.11309413611889
290.05129353,2750,90,0.04391942173242569,380,689.43,248281,1.5664688758552074,3.795090675354004,-14.920928001403809,0,-16.041857361793518,-14.920928001403809,0.006440514502173755,2.4450742565095425,0.6339548228424974,0.00073,0.1718064546585083,238272,-16.041857361793518
290.06778277,2784,90,0.043829645961523056,384,688.3,251139,-0.41060295421630144,2.1262378692626953,-16.28308868408203,0,-16.10059118270874,-16.28308868408203,0.006621459542657249,2.2816154807806015,0.8496844476903789,0.00073,0.3134382665157318,241152,-16.10059118270874
288.45975537,2809,90,0.04380926117300987,388,684.11,253318,-1.0939616956748068,1.3194868564605713,-17.32830047607422,0,-16.051803529262543,-17.32830047607422,0.007042464676487725,2.1353124398738146,0.35347072628792375,0.00073,1.8618760108947754,243328,-16.051803529262543
288.55030596999995,2842,90,0.0437077060341835,392,683.46,256219,0.0010334192775189877,2.0806188583374023,-16.575098037719727,0,-16.136195823550224,-16.575098037719727,0.0068826615970465355,2.4602979589253664,0.46540290443226695,0.00073,0.08154597878456116,246208,-16.136195823550224
285.45104817,2867,90,0.04364344850182533,396,679.16,258479,-0.19017519569024444,2.5037617683410645,-16.36220932006836,0,-16.066551685333252,-16.36220932006836,0.007031528213701677,2.3431694991886616,0.49091119278455153,0.00073,1.723156213760376,248448,-16.066551685333252
288.1920921699999,2901,90,0.04338575899600983,400,682.41,261378,0.42129646544344723,1.9726688861846924,-15.394266128540039,0,-16.23109632730484,-15.394266128540039,0.006928143251570873,2.533329265192151,0.3768861429998651,0.00073,0.20242860913276672,251392,-16.23109632730484
288.16879151999996,2933,90,0.04328266531229019,404,681.98,264236,-0.02699095185380429,2.4243407249450684,-16.387813568115234,0,-16.29830029606819,-16.387813568115234,0.0066148811965831555,2.441392209380865,0.60797343053855,0.00073,0.4050174355506897,254208,-16.29830029606819
291.8635148000001,2967,90,0.04305216670036316,408,686.47,267098,-0.013953559566289186,4.148107528686523,-17.614395141601562,0,-16.439119040966034,-17.614395141601562,0.006545038355397992,2.5022679790854454,0.38684556510997936,0.00073,0.16889677941799164,257088,-16.439119040966034
295.23412744999996,3000,89,0.04286349564790726,412,690.52,269972,-0.1714505662675947,3.6625075340270996,-17.59762954711914,0,-16.456581383943558,-17.59762954711914,0.0061964818014530465,2.2723634485155344,0.5115742338821292,0.00073,0.23580870032310486,259968,-16.456581383943558
