time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/MSE_losses,train/critic_los,train/loss,train/learning_rate,train/n_updates,train/MSE_loss,train/RL_loss,train/Beta,train/critic_loss,train/actor_loss,train/Main_losses
472,1481.97,532946,155,3433,-6.64761378,3.363095161020756,0.06058107316493988,-0.1993049830198288,0.001,522219,3.2778267860412598,-0.1993049830198288,0.0,0.10966133517911658,0.00795433315262926,0.00795433315262926
476,1481.97,539346,155,3473,-0.8800213700000009,3.132658120393753,0.04117276519536972,-0.40000709891319275,0.001,528619,2.87005352973938,-0.40000709891319275,0.0,0.07118525390862487,-0.35382172936457207,-0.35382172936457207
480,1461.9,543739,155,3502,2.0145351700000007,3.2786455892381214,0.02947450801730156,-0.5882905125617981,0.001,533502,3.36517333984375,-0.5882905125617981,0.0,0.085084163998983,-0.5822884160138312,-0.5822884160138312
484,1476.66,550139,155,3538,9.290310850000001,3.083445255756378,0.1516941636800766,-0.26741668581962585,0.001,539412,3.2244033813476562,-0.26741668581962585,0.0,0.08317923870286904,-0.7645825078705093,-0.7645825078705093
488,1506.45,555040,155,3575,18.58075188,3.146782322227955,0.1587478667497635,-0.8759591579437256,0.001,545812,2.8961522579193115,-0.8759591579437256,0.0,0.08279691973002627,-0.9780732537526637,-0.9780732537526637
492,1506.93,559954,155,3597,25.16457783,3.071977035701275,0.08482906967401505,-1.4467809200286865,0.001,549295,2.687351942062378,-1.4467809200286865,0.0,0.10892154278000817,-1.100223131638777,-1.100223131638777
496,1476.83,563344,155,3616,28.54322546,3.060133115105007,0.05044124647974968,-1.4571279287338257,0.001,552617,2.9817728996276855,-1.4571279287338257,0.0,0.15451617374695759,-1.2596628452124803,-1.2596628452124803
500,1455.98,567659,155,3649,31.915416989999997,3.092447747602387,0.08890210092067719,-1.599397897720337,0.001,558214,3.1490917205810547,-1.599397897720337,0.0,0.16276341374711545,-1.4962841387768955,-1.4962841387768955
504,1402.27,568688,155,3656,30.0325237,3.2539560317993166,0.0755511224269867,-0.972664475440979,0.001,559374,2.7404658794403076,-0.972664475440979,0.0,0.2332648043052332,-1.4055499024470062,-1.4055499024470062
508,1373.58,572219,155,3678,32.83190881,3.151748251914978,0.048696041107177734,-2.109295606613159,0.001,563034,2.9841179847717285,-2.109295606613159,0.0,0.25760857386747377,-1.6565758808865212,-1.6565758808865212
512,1327.24,572486,155,3679,29.273826319999998,3.054176412130657,1.0205668210983276,-1.311580777168274,0.001,563280,3.21091365814209,-1.311580777168274,0.0,0.2736669195031649,-1.677594325652248,-1.677594325652248
516,1311.9,577352,155,3702,35.943281750000004,3.1031786769628527,0.10760477185249329,-1.3521006107330322,0.001,566625,3.2851481437683105,-1.3521006107330322,0.0,0.2786582687590271,-1.843018768017646,-1.843018768017646
520,1307.28,583290,155,3740,46.75644778,2.934729238682323,0.30174827575683594,-1.8774909973144531,0.001,572636,3.0089614391326904,-1.8774909973144531,0.0,0.24949303167387377,-2.174071194293598,-2.174071194293598
