time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/MSE_loss,train/critic_los,train/learning_rate,train/RL_loss,train/MSE_losses,train/Main_losses,train/Beta,train/critic_loss,train/actor_loss,train/n_updates,train/loss
118146,256,500.0,500.0,158,743,0.29170671105384827,0.11562080681324005,0.001,-88.37433624267578,0.25819529938697816,-85.64056784057617,0.492,0.25778300961107015,-86.91088888549805,117576,-86.93914031982422
120146,260,500.0,500.0,158,756,0.26886698603630066,0.23674321174621582,0.001,-86.63726043701172,0.2529825494885445,-85.86427639770508,0.484,0.28926275549083946,-87.08871209716797,119576,-85.33594512939453
122146,264,500.0,500.0,158,769,0.21324245631694794,0.13776376843452454,0.001,-87.08439636230469,0.2553639140129089,-86.13218969726563,0.476,0.2695533138439059,-87.34772189331055,121576,-86.0693588256836
124146,268,500.0,500.0,158,782,0.21649813652038574,0.292782187461853,0.001,-84.17427825927734,0.25099431389570237,-86.47568460083008,0.468,0.22495991454273462,-87.65033795166016,123576,-83.16106414794922
126146,272,500.0,500.0,158,794,0.2289920300245285,0.12209542095661163,0.001,-87.62550354003906,0.2513107367753983,-86.58945520019532,0.46,0.22125209014862776,-87.745484375,125576,-86.5721435546875
128146,276,500.0,500.0,158,807,0.2562326490879059,0.18566010892391205,0.001,-87.70689392089844,0.2548697893023491,-86.87137234497071,0.452,0.2580399493128061,-88.02338381958008,127576,-86.54872131347656
130146,280,500.0,500.0,158,820,0.318392813205719,0.16244786977767944,0.001,-88.61861419677734,0.25962821435928346,-87.16299746704101,0.444,0.28812363063544033,-88.31574658203125,129576,-87.20494842529297
132146,284,500.0,500.0,158,832,0.28332340717315674,0.04990364983677864,0.001,-91.5248031616211,0.253788831949234,-87.37477862548828,0.436,0.27506922622025015,-88.48129791259765,131576,-90.28951263427734
134146,288,500.0,500.0,158,845,0.20803339779376984,0.10788112878799438,0.001,-89.46477508544922,0.25991700369119647,-87.84826776123047,0.428,0.2813005444258451,-88.9607123413086,133576,-88.57439422607422
136146,292,500.0,500.0,158,858,0.2912614643573761,0.16688218712806702,0.001,-88.01677703857422,0.27140085214376447,-88.40832931518554,0.42,0.4807987289354205,-89.54821279907226,135576,-86.7934799194336
138146,296,500.0,500.0,158,871,0.18102379143238068,0.08981231600046158,0.001,-90.79066467285156,0.2629751573204994,-88.73428701782227,0.412,0.44436610556393863,-89.8177444152832,137576,-90.04484558105469
140146,300,500.0,500.0,158,883,0.29293471574783325,0.13244713842868805,0.001,-90.94039154052734,0.2613000342845917,-89.08171667480468,0.404,0.3191186137124896,-90.13736856079102,139576,-89.7569351196289
142146,304,500.0,500.0,158,896,0.34042781591415405,0.09561605751514435,0.001,-91.44749450683594,0.2558070099055767,-89.23688873291016,0.396,0.36075119163095953,-90.24988446044922,141576,-90.09940338134766
144146,308,500.0,500.0,158,909,0.31370049715042114,0.23787441849708557,0.001,-89.33654022216797,0.2598123899102211,-89.48234747314453,0.388,0.2676974482014775,-90.49041973876953,143576,-88.119384765625
146146,312,500.0,500.0,158,921,0.31218546628952026,0.20366504788398743,0.001,-91.39352416992188,0.2663074282407761,-89.87402151489258,0.38,0.33967631324380637,-90.8859895324707,145576,-90.20722198486328
148146,316,500.0,500.0,158,934,0.2695111334323883,0.11761511862277985,0.001,-90.50657653808594,0.2570424833893776,-89.96176104736328,0.372,0.18975888269022106,-90.91795919799804,147576,-89.50399780273438
150146,320,500.0,500.0,158,947,0.2345602810382843,0.6937007904052734,0.001,-88.08308410644531,0.25725591331720354,-90.09792715454101,0.364,0.369441784247756,-91.03433874511718,149576,-87.22928619384766
152146,324,500.0,500.0,158,959,0.23435430228710175,0.1144862025976181,0.001,-90.7125015258789,0.2623019415140152,-90.5019189453125,0.356,0.20458718983083962,-91.43571371459961,151576,-89.8781967163086
154146,328,500.0,500.0,158,972,0.23559249937534332,0.29993391036987305,0.001,-91.59521484375,0.31993079417943954,-91.76688208007812,0.348,0.3557674685567617,-92.88024136352539,153576,-90.77535247802734
156146,332,500.0,500.0,158,985,0.2366826981306076,0.057608965784311295,0.001,-95.52428436279297,0.26211438059806824,-92.15598324584961,0.34,0.31047950679808856,-93.04717211914063,155576,-94.71956634521484
158146,336,500.0,500.0,158,998,0.2677064538002014,0.1922440528869629,0.001,-94.19041442871094,0.2584067838191986,-91.9706392211914,0.332,0.4773488076850772,-92.82854974365235,157576,-93.30162811279297
160146,340,500.0,500.0,158,1010,0.2921264171600342,0.1445845067501068,0.001,-91.66539001464844,0.26208856648206713,-91.8457894897461,0.324,0.5252746326699853,-92.69495651245117,159576,-90.71890258789062
162146,344,500.0,500.0,158,1023,0.33021384477615356,0.09993944317102432,0.001,-91.01386260986328,0.26094793951511386,-91.25481652832032,0.316,0.5379834715127945,-92.07941201782226,161576,-89.97039031982422
164146,348,500.0,500.0,158,1036,0.31731393933296204,0.18954062461853027,0.001,-88.82774353027344,0.2666050744652748,-91.2959345703125,0.308,0.5103110920935869,-92.11707809448242,163576,-87.85041809082031
166146,352,500.0,500.0,158,1048,0.2497723549604416,0.07248792052268982,0.001,-93.02159881591797,0.29374994176626207,-91.44961972045898,0.3,0.6313406778126955,-92.33086947631836,165576,-92.27228546142578
168146,356,500.0,500.0,158,1061,0.2315509021282196,0.22648906707763672,0.001,-91.05050659179688,0.27517190539836883,-91.48688018798828,0.292,0.4346333164125681,-92.29038217163085,167576,-90.37437438964844
170146,360,500.0,500.0,158,1074,0.21000783145427704,0.18611422181129456,0.001,-92.74237823486328,0.26946629923582077,-91.94675936889648,0.284,0.5857676302790642,-92.71204351806641,169576,-92.14595794677734
172146,364,500.0,500.0,158,1086,0.29874974489212036,0.4632367491722107,0.001,-92.88713836669922,0.25675289845466615,-91.66173651123047,0.276,0.27231844038143754,-92.37037469482422,171576,-92.06259155273438
174146,368,500.0,500.0,158,1099,0.2724863588809967,0.8430174589157104,0.001,-93.50980377197266,0.2801364145874977,-91.87147814941406,0.268,0.36444844511151314,-92.62224371337891,173576,-92.779541015625
176146,372,500.0,500.0,158,1112,0.25903356075286865,0.09910012036561966,0.001,-94.23562622070312,0.25514722752571106,-92.04679788208009,0.26,0.2601047960743308,-92.7101808166504,175576,-93.56214141845703
178146,376,500.0,500.0,158,1124,0.3124752640724182,0.07068516314029694,0.001,-93.22343444824219,0.2594586993455887,-92.20006158447265,0.252,0.2843406064100564,-92.85389739990234,177576,-92.43599700927734
180146,380,500.0,500.0,158,1137,0.22422939538955688,0.6094954013824463,0.001,-92.53742980957031,0.26078201878070834,-92.1653288269043,0.244,0.33066619603335856,-92.80163705444336,179576,-91.99031066894531
182146,384,500.0,500.0,158,1150,0.22233405709266663,0.09225265681743622,0.001,-92.98749542236328,0.267845513522625,-92.29109814453125,0.236,0.3049181739538908,-92.92321340942382,181576,-92.46278381347656
184146,388,500.0,500.0,158,1162,0.2966674268245697,0.055286020040512085,0.001,-92.01898193359375,0.2661618682742119,-92.27297552490235,0.228,0.16702340195327997,-92.8798243408203,183576,-91.34258270263672
186146,392,500.0,500.0,158,1175,0.29746851325035095,0.062299806624650955,0.001,-93.06661987304688,0.2689461836218834,-92.53267178344727,0.22,0.14492876056954265,-93.12435348510742,185576,-92.41218566894531
187999,396,498.53,498.53,158,1187,0.24557483196258545,0.1530275046825409,0.001,-93.0692367553711,0.277997409760952,-92.74254632568359,0.212,0.5036454652324319,-93.33190090942382,187576,-92.54861450195312
189999,400,498.53,498.53,158,1199,0.24556586146354675,0.08707252144813538,0.001,-94.0208511352539,0.27059811013936996,-92.46306582641601,0.204,0.3981620147451758,-93.01508581542969,189429,-93.5198974609375
191999,404,498.53,498.53,158,1212,0.23331043124198914,0.2712477147579193,0.001,-92.83964538574219,0.26101909321546557,-92.64257940673828,0.196,0.2585703631415963,-93.15417669677734,191429,-92.38235473632812
193999,408,498.53,498.53,158,1224,0.23065540194511414,0.125407412648201,0.001,-93.30552673339844,0.2794763300418854,-92.54597592163086,0.188,0.2786016868911684,-93.07139132690429,193429,-92.87189483642578
195999,412,498.53,498.53,158,1237,0.24730710685253143,0.25291338562965393,0.001,-93.54927825927734,0.27371766543388365,-92.44935494995117,0.18,0.45305893693119287,-92.94204684448242,195429,-93.1041259765625
197999,416,498.53,498.53,158,1250,0.22150060534477234,0.13950344920158386,0.001,-93.4381103515625,0.2850857464671135,-92.5897568359375,0.172,0.33520228739082814,-93.0801044921875,197429,-93.05712890625
199999,420,498.53,498.53,158,1262,0.23509593307971954,0.12840799987316132,0.001,-92.79673767089844,0.30718252021074294,-92.96886465454102,0.164,0.345572152774781,-93.47264385986328,199429,-92.41117858886719
201999,424,498.53,498.53,158,1275,0.3207085430622101,0.11401417851448059,0.001,-94.85138702392578,0.28618707770109175,-93.50178842163086,0.156,0.16872650398313999,-93.94824002075195,201429,-94.35108184814453
203999,428,498.53,498.53,158,1287,0.3610366880893707,0.6268812417984009,0.001,-94.58277893066406,0.32311516934633255,-93.77003567504883,0.148,0.6349348175153137,-94.24824600219726,203429,-94.04844665527344
205999,432,498.53,498.53,158,1300,0.4572449326515198,0.1591205596923828,0.001,-95.43390655517578,0.3764572150707245,-94.16824621582032,0.14,0.32046902502328156,-94.69528625488282,205429,-94.79376220703125
207999,436,498.53,498.53,158,1313,0.35189002752304077,0.15594322979450226,0.001,-94.4911117553711,0.2899566724300385,-94.51511447143555,0.132,0.4351755745485425,-94.8978571472168,207429,-94.02661895751953
208067,440,479.21,479.21,158,1316,0.4082298278808594,0.07252618670463562,0.001,-94.21955871582031,0.3907913714647293,-94.97897434234619,0.124,0.13693314352456262,-95.46355438232422,207977,-93.7133560180664
210067,444,479.21,479.21,158,1326,0.35314804315567017,0.047604821622371674,0.001,-95.1739273071289,0.29317215526103974,-94.58211596679688,0.116,0.5099814878106117,-94.92219570922852,209497,-94.76427459716797
212067,448,479.21,479.21,158,1338,0.2902757525444031,0.06458630412817001,0.001,-93.32939147949219,0.30060061943531036,-94.76203057861328,0.108,0.5333787842914463,-95.08667907714843,211497,-93.0158920288086
214067,452,479.21,479.21,158,1351,0.3040219843387604,0.04365260899066925,0.001,-95.29017639160156,0.27428956991434095,-94.9518561706543,0.1,0.6062337413541973,-95.22614569091797,213497,-94.98615264892578
216067,456,479.21,479.21,158,1363,0.30407798290252686,0.46453967690467834,0.001,-94.37609100341797,0.2888199001550674,-95.05096951293946,0.092,0.7126514783352613,-95.31668380737305,215497,-94.0963363647461
218067,460,479.21,479.21,158,1376,0.28124570846557617,0.1880352944135666,0.001,-94.99275970458984,0.30674606519937514,-94.95148608398438,0.084,0.4948513465300202,-95.2091524963379,217497,-94.75651550292969
219914,464,477.68,477.68,158,1388,0.24431970715522766,0.09582953155040741,0.001,-95.57122802734375,0.4043091093671733,-95.21051972487876,0.076,0.45992337271399386,-95.51779481734353,219344,-95.38554382324219
