time/total_timesteps,train/loss,time/time_elapsed,train/RL_loss,train/n_updates,train/actor_loss,train/critic_loss,time/episodes,train/MSE_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/Beta,train/Main_losses,train/critic_los,train/ent_coef,rollout/ep_len_mean,train/MSE_losses
52800,21.018705368041992,595,21.018705368041992,52699,21.018705368041992,1.1696898937225342,264,3.042194128036499,0.001,88,-146.57913150000002,-0.01247347891330719,-0.0,21.018705368041992,1.1696898937225342,0.019982334226369858,200.0,3.042194128036499
53600,21.124698638916016,604,21.124698638916016,53499,21.124698638916016,0.42275387048721313,268,2.984267234802246,0.001,88,-145.45194145000002,-0.8142039775848389,-0.0,21.124698638916016,0.42275387048721313,0.021632276475429535,200.0,2.984267234802246
54400,18.212661743164062,614,18.212661743164062,54299,18.212661743164062,1.1752026081085205,272,3.1296067237854004,0.001,88,-147.62765674,-0.6308239102363586,-0.0,18.212661743164062,1.1752026081085205,0.019642861559987068,200.0,3.1296067237854004
55200,24.62137794494629,623,24.62137794494629,55099,24.62137794494629,0.9143608212471008,276,3.0368826389312744,0.001,88,-149.03594433,0.6647546291351318,-0.0,24.62137794494629,0.9143608212471008,0.02448202669620514,200.0,3.0368826389312744
56000,23.441394805908203,632,23.441394805908203,55899,23.441394805908203,0.42027372121810913,280,2.813000202178955,0.001,88,-147.53637847,-0.2539977431297302,-0.0,23.441394805908203,0.42027372121810913,0.02108750119805336,200.0,2.813000202178955
56800,20.741535186767578,641,20.741535186767578,56699,20.741535186767578,0.594153642654419,284,3.053713321685791,0.001,88,-146.32356560000002,-0.20935767889022827,-0.0,20.741535186767578,0.594153642654419,0.020141858607530594,200.0,3.053713321685791
57600,27.950958251953125,650,27.950958251953125,57499,27.950958251953125,0.3826151490211487,288,2.938640594482422,0.001,88,-146.34214233999998,0.19736625254154205,-0.0,27.950958251953125,0.3826151490211487,0.021646738052368164,200.0,2.938640594482422
58400,20.498348236083984,659,20.498348236083984,58299,20.498348236083984,0.7234644889831543,292,3.1956794261932373,0.001,88,-147.49690807000002,-0.40448078513145447,-0.0,20.498348236083984,0.7234644889831543,0.02044251561164856,200.0,3.1956794261932373
59200,24.257408142089844,668,24.257408142089844,59099,24.257408142089844,0.9022802114486694,296,3.164116382598877,0.001,88,-148.17750347,-0.06611214578151703,-0.0,24.257408142089844,0.9022802114486694,0.026739344000816345,200.0,3.164116382598877
60000,19.25606918334961,677,19.25606918334961,59899,19.25606918334961,0.536531925201416,300,3.140204429626465,0.001,88,-143.47117144999999,-0.21773123741149902,-0.0,19.25606918334961,0.536531925201416,0.024966560304164886,200.0,3.140204429626465
