time/episodes,train/std,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/ent_coef,train/Main_losses,train/MSE_loss,train/n_updates,train/RL_loss,train/actor_loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/critic_loss,train/critic_los,train/learning_rate
348,0.04279775172472,234828,712.37,2547,92,292.8915882200001,-14.748161315917969,0.006714880561048631,-15.258212015032768,2.2900571823120117,224832,-14.748161315917969,-15.258212015032768,2.6800008323043585,-0.08382366190198809,0,0.4124553121509962,0.09425188601016998,0.00073
352,0.04297017306089401,237651,711.42,2579,92,294.90243744,-15.000150680541992,0.007088234735419974,-15.22990021109581,3.001065254211426,227648,-15.000150680541992,-15.22990021109581,2.500782109797001,-0.630486706038937,0,0.4957363859284669,1.6575911045074463,0.00073
356,0.04282680153846741,240490,708.38,2611,92,295.02820418,-14.591561317443848,0.006755791517207399,-15.270175069570541,1.8777620792388916,230464,-14.591561317443848,-15.270175069570541,2.2297393269836903,0.10597983584739268,0,0.5498281823820435,0.3227888345718384,0.00073
360,0.042741596698760986,243402,706.76,2644,92,295.12064104999996,-14.494911193847656,0.006515747889352497,-15.44255881011486,1.4862383604049683,233408,-14.494911193847656,-15.44255881011486,2.2134043145924807,-0.4232884756056592,0,0.49121242720866576,0.0747961550951004,0.00073
364,0.04272535443305969,246306,710.8,2677,92,300.18639413999995,-15.502453804016113,0.00686737745127175,-15.46544174849987,4.329919815063477,236288,-15.502453804016113,-15.46544174849987,2.420866221189499,-0.31001095240935683,0,0.3946723122498952,0.09784886240959167,0.00073
368,0.042559582740068436,249154,708.18,2709,91,301.50280195,-15.855870246887207,0.006358921898936387,-15.673199012875557,1.2513267993927002,239168,-15.855870246887207,-15.673199012875557,2.1975119803100824,1.232578896684572,0,0.30782865855144337,0.10063396394252777,0.00073
372,0.04251158609986305,252039,706.56,2742,91,301.58966966,-15.324688911437988,0.0063136445241980255,-15.638586148619652,2.5891268253326416,242048,-15.324688911437988,-15.638586148619652,2.1990827545523643,0.023103527259081602,0,0.5107129274401814,0.15969491004943848,0.00073
376,0.04253003001213074,254899,704.62,2773,91,301.71807077,-16.263683319091797,0.006500098454125691,-16.01307825744152,2.465165615081787,244864,-16.263683319091797,-16.01307825744152,2.367852108553052,0.2020747836213559,0,0.291552250739187,0.08647909015417099,0.00073
380,0.04244571179151535,257069,702.04,2798,91,300.42155662,-12.256054878234863,0.006490410232800059,-15.90288032591343,3.719513177871704,247040,-12.256054878234863,-15.90288032591343,2.3747640643268824,-0.1289670553524047,0,0.6028014647308737,0.5059680342674255,0.00073
384,0.042389482259750366,259482,695.48,2825,91,295.00772648000003,-16.245193481445312,0.006754700683814008,-15.853016510605812,2.1800003051757812,249472,-16.245193481445312,-15.853016510605812,2.3660454601049423,-1.2303075187373906,0,0.6718020535772666,0.08970171213150024,0.00073
388,0.042329832911491394,261716,688.24,2851,91,291.0467621,-15.540689468383789,0.0070753369218437,-15.724419131875038,2.1921956539154053,251712,-15.540689468383789,-15.724419131875038,2.32595182582736,-0.893140415661037,0,0.5817483005230315,0.1632835566997528,0.00073
392,0.04216764494776726,264557,686.79,2882,91,291.17666713,-15.70793342590332,0.0068239867614465766,-15.830604791641235,3.2841389179229736,254528,-15.70793342590332,-15.830604791641235,2.4429229833185673,-0.9141827980056405,0,0.5209855833672918,0.1116066724061966,0.00073
396,0.0421307310461998,267427,686.04,2915,91,291.24120321,-16.206947326660156,0.0066955168804270215,-16.02104812860489,2.4801383018493652,257408,-16.206947326660156,-16.02104812860489,2.388026749715209,-0.28106739022769034,0,0.5121998992981389,0.19298233091831207,0.00073
400,0.04202863946557045,270633,688.38,2951,91,292.21470775,-17.078266143798828,0.006694327094010077,-16.079762041568756,3.15451717376709,260608,-17.078266143798828,-16.079762041568756,2.4940755777060986,-0.5885914755053818,0,0.3878885393496603,0.09653766453266144,0.00073
404,0.04202428460121155,273303,690.62,2982,91,294.44827363,-15.63997745513916,0.006848910343251191,-16.000866949558258,2.216064214706421,263296,-15.63997745513916,-16.000866949558258,2.4539832305163145,-0.7083263508975506,0,0.48777469096239656,0.1458580195903778,0.00073
408,0.041852254420518875,276189,690.11,3014,91,294.53453491999994,-13.897855758666992,0.00699317629187135,-16.05950853228569,2.2839527130126953,266176,-13.897855758666992,-16.05950853228569,2.503142872825265,-0.5078249992802739,0,0.6628895124886185,1.7804802656173706,0.00073
412,0.0417000912129879,279045,689.19,3047,91,294.64606846999993,-16.022947311401367,0.006525785312987864,-16.145252138376236,5.405677795410156,269056,-16.022947311401367,-16.145252138376236,2.273343849927187,-0.1954880878329277,0,0.4511592556373216,0.070728600025177,0.00073
416,0.04155054688453674,281918,688.75,3079,91,294.81691801,-16.633697509765625,0.0063681414612801746,-16.479523330926895,2.4379353523254395,271872,-16.633697509765625,-16.479523330926895,2.405710795894265,0.929029755294323,0,0.608456201327499,0.11701890081167221,0.00073
420,0.0414884053170681,284767,688.15,3111,91,294.99448352,-16.01593589782715,0.006752581146429293,-16.33344131708145,1.8193504810333252,274752,-16.01593589782715,-16.33344131708145,2.4389078114181757,-0.09591191518120468,0,0.5419513613451272,1.5244498252868652,0.00073
424,0.04148703068494797,287614,693.43,3143,91,298.98712325,-16.85993194580078,0.006824670199421234,-16.43237206339836,2.568500518798828,277568,-16.85993194580078,-16.43237206339836,2.641259379684925,-1.281564277014695,0,0.6181325960787944,0.14579783380031586,0.00073
