time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/Beta,train/loss,train/RL_loss,train/ent_coef,train/MSE_loss,train/learning_rate,train/n_updates,train/critic_los,train/MSE_losses,train/Main_losses,train/actor_loss,train/critic_loss
148599,1665,89,488.37,360,488.37,-1.3449405431747437,0,-98.58251190185547,-98.58251190185547,0.014918503351509571,1.4230142831802368,0.001,148498,20.356853485107422,1.4230142831802368,-98.58251190185547,-98.58251190185547,20.356853485107422
150599,1687,89,488.37,364,488.37,-2.2024528980255127,0,-99.64056396484375,-99.64056396484375,0.010402916930615902,1.2018227577209473,0.001,150498,0.2673739194869995,1.2018227577209473,-99.64056396484375,-99.64056396484375,0.2673739194869995
152599,1710,89,488.37,368,488.37,-1.5604832172393799,0,-100.60818481445312,-100.60818481445312,0.004993821494281292,1.334191918373108,0.001,152498,0.12488025426864624,1.334191918373108,-100.60818481445312,-100.60818481445312,0.12488025426864624
154599,1732,89,488.37,372,488.37,-0.06865505129098892,0,-98.70665740966797,-98.70665740966797,0.003455518279224634,1.206193208694458,0.001,154498,0.01740351691842079,1.206193208694458,-98.70665740966797,-98.70665740966797,0.01740351691842079
156599,1755,89,488.37,376,488.37,0.669721245765686,0,-98.62841796875,-98.62841796875,0.0028168028220534325,1.3146895170211792,0.001,156498,0.1461094170808792,1.3146895170211792,-98.62841796875,-98.62841796875,0.1461094170808792
158599,1777,89,488.37,380,488.37,0.6607065200805664,0,-100.70189666748047,-100.70189666748047,0.005348939914256334,1.3554702997207642,0.001,158498,0.5158198475837708,1.3554702997207642,-100.70189666748047,-100.70189666748047,0.5158198475837708
160599,1799,89,488.37,384,488.37,0.5089521408081055,0,-99.86571502685547,-99.86571502685547,0.008620530366897583,1.3329331874847412,0.001,160498,0.03129509091377258,1.3329331874847412,-99.86571502685547,-99.86571502685547,0.03129509091377258
162392,1819,89,489.62,388,489.62,-0.16822461783885956,0,-99.63224029541016,-99.63224029541016,0.008544598706066608,1.328629970550537,0.001,162291,0.04672417417168617,1.328629970550537,-99.63224029541016,-99.63224029541016,0.04672417417168617
164392,1842,89,489.62,392,489.62,-0.4852137565612793,0,-99.08279418945312,-99.08279418945312,0.005616613198071718,1.2754292488098145,0.001,164291,0.026330087333917618,1.2754292488098145,-99.08279418945312,-99.08279418945312,0.026330087333917618
166392,1864,89,493.75,396,493.75,-1.8187510967254639,0,-100.60238647460938,-100.60238647460938,0.007838934659957886,1.3481526374816895,0.001,166291,0.011655660346150398,1.3481526374816895,-100.60238647460938,-100.60238647460938,0.011655660346150398
168120,1883,89,491.03,400,491.03,0.8957153558731079,0,-99.24922180175781,-99.24922180175781,0.004871126729995012,1.3488283157348633,0.001,168019,0.029537886381149292,1.3488283157348633,-99.24922180175781,-99.24922180175781,0.029537886381149292
170120,1906,89,491.03,404,491.03,-0.303072065114975,0,-98.93818664550781,-98.93818664550781,0.004254855681210756,1.2901275157928467,0.001,170019,0.02515602298080921,1.2901275157928467,-98.93818664550781,-98.93818664550781,0.02515602298080921
