time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/loss,train/MSE_loss,train/n_updates,train/critic_los,train/Main_losses,train/RL_loss,train/MSE_losses,train/Beta
53513,161,5.86,331,5.86,9160,0.04084233505030473,0.001,-3.2364203929901123,-3.133598804473877,1.6551121473312378,53415,0.036392942070961,-3.2364203929901123,-3.133598804473877,1.6342176993687947,-0.0
53535,161,5.85,331,5.85,9164,0.0477644793689251,0.001,-3.3680238723754883,-3.301041603088379,1.6812139749526978,53437,0.056053824722766876,-3.3680238723754883,-3.301041603088379,1.6001096963882446,-0.0
53559,161,5.86,331,5.86,9168,0.03503899788483977,0.001,-3.136390765508016,-3.449326992034912,1.599221110343933,53461,0.015481012873351574,-3.136390765508016,-3.449326992034912,1.6896400849024455,-0.0
53583,161,5.87,332,5.87,9172,0.0409411204357942,0.001,-3.3255311648050943,-3.1618869304656982,1.6584866046905518,53485,0.04636659473180771,-3.3255311648050943,-3.1618869304656982,1.594411810239156,-0.0
53607,161,5.88,332,5.88,9176,0.041873431454102196,0.001,-3.1892661253611245,-3.2699999809265137,1.6134417057037354,53509,0.046425431966781616,-3.1892661253611245,-3.2699999809265137,1.6652848720550537,-0.0
53630,161,5.88,332,5.88,9180,0.034231094643473625,0.001,-3.3690484364827475,-3.162476062774658,1.6584161520004272,53532,0.029832813888788223,-3.3690484364827475,-3.162476062774658,1.606291651725769,-0.0
53652,161,5.87,332,5.87,9184,0.03792970068752766,0.001,-3.286737044652303,-3.286280632019043,1.6380078792572021,53555,0.03072008490562439,-3.286737044652303,-3.286280632019043,1.618922233581543,-0.0
53675,161,5.86,332,5.86,9188,0.0360174390176932,0.001,-3.450132369995117,-3.384145975112915,1.5703129768371582,53577,0.025451840832829475,-3.450132369995117,-3.384145975112915,1.5718428293863933,-0.0
53699,161,5.86,332,5.86,9192,0.044091577331225075,0.001,-3.3234028816223145,-3.498368978500366,1.5578008890151978,53601,0.043568313121795654,-3.3234028816223145,-3.498368978500366,1.6363817850748699,-0.0
53724,161,5.88,332,5.88,9196,0.060882926608125366,0.001,-3.4165596961975098,-3.480964183807373,1.6319608688354492,53626,0.03503866493701935,-3.4165596961975098,-3.480964183807373,1.6245851516723633,-0.0
53747,161,5.87,333,5.87,9200,0.04217424181600412,0.001,-3.3142983118693032,-3.2495388984680176,1.6703002452850342,53649,0.038226936012506485,-3.3142983118693032,-3.2495388984680176,1.6259894371032715,-0.0
53770,161,5.85,333,5.85,9204,0.033605183785160385,0.001,-3.2178660233815513,-3.203691005706787,1.7011303901672363,53672,0.021409809589385986,-3.2178660233815513,-3.203691005706787,1.6874467134475708,-0.0
53794,161,5.87,333,5.87,9208,0.03050978109240532,0.001,-3.226905902226766,-3.040433883666992,1.8105790615081787,53696,0.013867896050214767,-3.226905902226766,-3.040433883666992,1.7021642525990803,-0.0
53817,161,5.87,333,5.87,9212,0.03865339569747448,0.001,-3.3979698419570923,-3.3490476608276367,1.606726050376892,53719,0.05804721266031265,-3.3979698419570923,-3.3490476608276367,1.588477075099945,-0.0
53841,161,5.87,333,5.87,9216,0.044866894682248436,0.001,-3.316009521484375,-3.1580586433410645,1.6492244005203247,53743,0.04457652568817139,-3.316009521484375,-3.1580586433410645,1.6377944151560466,-0.0
53864,161,5.87,333,5.87,9220,0.03375533719857534,0.001,-3.3642349243164062,-3.236525297164917,1.6539990901947021,53767,0.035233452916145325,-3.3642349243164062,-3.236525297164917,1.6345351139704387,-0.0
53888,161,5.88,333,5.88,9224,0.042773112344245114,0.001,-3.440960248311361,-3.54079270362854,1.5644090175628662,53790,0.04151952266693115,-3.440960248311361,-3.54079270362854,1.583313226699829,-0.0
53912,161,5.88,334,5.88,9228,0.04928445133070151,0.001,-3.3706823190053306,-3.397059917449951,1.5539754629135132,53814,0.06305297464132309,-3.3706823190053306,-3.397059917449951,1.590477466583252,-0.0
53934,161,5.86,334,5.86,9232,0.0471639521420002,0.001,-3.305866082509359,-3.4790728092193604,1.5268194675445557,53836,0.04569609463214874,-3.305866082509359,-3.4790728092193604,1.6272961695988972,-0.0
53958,161,5.86,334,5.86,9236,0.04583100198457638,0.001,-3.450391928354899,-3.731311321258545,1.4508956670761108,53860,0.03379865735769272,-3.450391928354899,-3.731311321258545,1.5752030611038208,-0.0
53980,161,5.85,334,5.85,9240,0.04395946487784386,0.001,-3.354475975036621,-3.31148624420166,1.6190060377120972,53883,0.040973253548145294,-3.354475975036621,-3.31148624420166,1.6032536029815674,-0.0
54003,161,5.84,334,5.84,9244,0.04243197167913119,0.001,-3.365617116292318,-3.457723617553711,1.5474092960357666,53905,0.0319543331861496,-3.365617116292318,-3.457723617553711,1.6053803364435832,-0.0
54027,161,5.84,334,5.84,9248,0.05113716113070647,0.001,-3.211054484049479,-3.426328659057617,1.6030322313308716,53929,0.07238756120204926,-3.211054484049479,-3.426328659057617,1.6584422588348389,-0.0
54049,161,5.83,334,5.83,9252,0.038301273807883264,0.001,-3.226631999015808,-3.2448627948760986,1.633288860321045,53951,0.024718495085835457,-3.226631999015808,-3.2448627948760986,1.659332275390625,-0.0
54071,161,5.82,335,5.82,9256,0.03988787159323692,0.001,-3.3115487098693848,-3.391453981399536,1.635571002960205,53974,0.03476952016353607,-3.3115487098693848,-3.391453981399536,1.634517987569173,-0.0
