time/episodes,train/std,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/RL_loss,train/critic_loss,train/MSE_loss,train/Main_losses,train/critic_los,train/actor_loss,train/ent_coef,train/loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/learning_rate
288,0.04328461363911629,92,260604,194.69387525,2808,1030.33,250560,-4.596778869628906,0.11505971278529614,7.162884712219238,-4.088932454586029,0.06075113266706467,-4.088932454586029,0.005816448385303374,-4.596778869628906,7.282792747020721,-0.40011461335234344,-0.0,0.00073
292,0.04308580979704857,92,264537,209.55868540999995,2851,1049.39,254528,-3.436671257019043,0.16938496238435619,7.215795516967773,-4.287925284355879,0.11547166854143143,-4.287925284355879,0.005564209037402179,-3.436671257019043,7.416932262480259,-0.15021885000169277,-0.0,0.00073
296,0.04279074817895889,92,268247,222.65935012000003,2892,1050.12,258240,-4.355581283569336,0.16412024133023806,7.251365661621094,-4.589078608900309,0.08369666337966919,-4.589078608900309,0.005323563535057474,-4.355581283569336,7.26461361348629,0.06156627181917429,-0.0,0.00073
300,0.042813315987586975,92,271858,235.62466980000005,2931,1052.5,261824,-5.144003391265869,0.1289847888983786,7.247875213623047,-4.982854638248682,0.06855499744415283,-4.982854638248682,0.0056727279734332114,-5.144003391265869,6.84735494852066,-1.134394226130098,-0.0,0.00073
304,0.04284480959177017,92,275274,245.47224977000002,2968,1040.22,265280,-6.053610801696777,0.1317143840715289,6.586000442504883,-5.04471268504858,0.05449231341481209,-5.04471268504858,0.005379735659516882,-6.053610801696777,6.835968017578125,-0.30302279093302786,-0.0,0.00073
308,0.04260079935193062,92,278403,252.10365224000006,3002,1022.57,268416,-5.322693824768066,0.18450869689695537,6.961279392242432,-5.293492555618286,0.11764609813690186,-5.293492555618286,0.005557778611546382,-5.322693824768066,6.825319081544876,0.9565610149875283,-0.0,0.00073
312,0.04278048127889633,92,281032,250.99680729,3031,985.1,271040,-4.526134967803955,0.18839823664166033,6.634420394897461,-5.061513874679804,0.0613897442817688,-5.061513874679804,0.0055337357698590495,-4.526134967803955,6.735855095088482,0.01926314877346158,-0.0,0.00073
316,0.042673785239458084,92,284460,256.67585728,3068,971.3,274432,-5.285696983337402,0.15743668569484726,7.037641525268555,-5.195429861545563,0.09930741786956787,-5.195429861545563,0.005071825937193353,-5.285696983337402,6.896431237459183,1.026780833140947,-0.0,0.00073
320,0.04274335503578186,92,287903,267.44189195,3106,978.97,277888,-4.510131359100342,0.19308149599237368,7.406354904174805,-5.37409870326519,0.11711949110031128,-5.37409870326519,0.00533935352723347,-4.510131359100342,6.788805842399597,-0.059042670764029026,-0.0,0.00073
324,0.04273368790745735,92,291338,270.64563303,3143,964.83,281344,-4.792949676513672,0.14802530105225742,6.540619850158691,-5.7144545540213585,0.15819086134433746,-5.7144545540213585,0.005639710972900502,-4.792949676513672,6.7588475197553635,0.23424537386745214,-0.0,0.00073
